Z daughter, A daughter, element daughter, Z parent, A parent, element parent, daughter level idx, independent thermal fy, unc, independent fast fy, unc, independent 14MeV fy, unc,Extraction_date
33,75,As,93,237,Np,0,0.000000000073772,0.000000000029298,0.000000000051928,0.000000000020353,,,2024-11-18
33,75,As,93,237,Np,4,0.00000000024136,0.000000000095852,0.00000000019665,0.000000000077075,,,2024-11-18
33,76,As,93,237,Np,0,0.000000011129,0.0000000043165,0.0000000091561,0.0000000035512,,,2024-11-18
33,77,As,93,237,Np,0,0.00000029585,0.00000011439,0.00000025851,0.00000010065,,,2024-11-18
33,78,As,93,237,Np,0,0.0000036119,0.0000013888,0.0000036966,0.0000013979,,,2024-11-18
33,79,As,93,237,Np,0,0.000035046,0.000013136,0.000039828,0.000014565,,,2024-11-18
33,80,As,93,237,Np,0,0.0001689,0.00005767,0.00020231,0.000071072,,,2024-11-18
33,81,As,93,237,Np,0,0.00073437,0.00017232,0.000833,0.00021895,,,2024-11-18
33,82,As,93,237,Np,0,0.00037639,0.000073759,0.0003983,0.000081226,,,2024-11-18
33,82,As,93,237,Np,1,0.0011358,0.00022258,0.0013878,0.00028301,,,2024-11-18
33,83,As,93,237,Np,0,0.0024415,0.00046952,0.0028839,0.00043897,,,2024-11-18
33,84,As,93,237,Np,0,0.0008577,0.00021373,0.0012606,0.0002855,,,2024-11-18
33,84,As,93,237,Np,-2,0.0008577,0.00021373,0.0012606,0.0002855,,,2024-11-18
33,85,As,93,237,Np,0,0.00092679,0.00025997,0.0013067,0.00038247,,,2024-11-18
33,86,As,93,237,Np,0,0.00020538,0.000072166,0.00034937,0.00012039,,,2024-11-18
33,87,As,93,237,Np,0,0.000033034,0.00001274,0.000070873,0.000026548,,,2024-11-18
33,88,As,93,237,Np,0,0.0000026927,0.00000094366,0.0000068706,0.0000025018,,,2024-11-18
33,89,As,93,237,Np,0,0.00000016306,0.000000055439,0.00000038674,0.00000014036,,,2024-11-18
33,90,As,93,237,Np,0,0.0000000043323,0.0000000015257,0.000000015354,0.0000000055499,,,2024-11-18
33,91,As,93,237,Np,0,0.000000000080861,0.000000000029515,0.00000000035977,0.00000000012953,,,2024-11-18
34,74,Se,93,237,Np,0,0,0,0,0,,,2024-11-18
34,76,Se,93,237,Np,0,0.0000000000039242,0.0000000000015223,0.0000000000015817,0.00000000000061349,,,2024-11-18
34,77,Se,93,237,Np,0,0.00000000003799,0.000000000014715,0.000000000014487,0.0000000000056448,,,2024-11-18
34,77,Se,93,237,Np,1,0.00000000024851,0.000000000096255,0.0000000001088,0.000000000042396,,,2024-11-18
34,78,Se,93,237,Np,0,0.000000015328,0.0000000059557,0.0000000077981,0.0000000029663,,,2024-11-18
34,79,Se,93,237,Np,0,0.00000034914,0.0000001378,0.00000020531,0.000000077436,,,2024-11-18
34,79,Se,93,237,Np,1,0.000000053373,0.000000021066,0.000000027336,0.00000001031,,,2024-11-18
34,80,Se,93,237,Np,0,0.0000082271,0.0000032258,0.0000053072,0.0000020223,,,2024-11-18
